PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,,
DC System Size (kW):,100,,,,,,,,,,Wh per day,Wh per month,Wh per year
Module Type:,Standard,,,,,,,,,,"303,058","10,871,239","157,361,651"
Array Type:,Fixed (open rack),,,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,kWh equivalent,303.058,10871.239,157361.651
Array Azimuth (deg):,180,,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.16,,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
3,2,18,0,0,16,6.2,0,16,0,0,,,
3,2,19,0,0,15,5.1,0,15,0,0,,,
3,2,20,0,0,12,3.6,0,12,0,0,,,
3,2,21,0,0,13,4.6,0,13,0,0,,,
3,2,22,0,0,12,5.1,0,12,0,0,,,
3,2,23,0,0,10,2.6,0,10,0,0,,,
3,3,0,0,0,10,1.5,0,10,0,0,,,
3,3,1,0,0,9,3.6,0,9,0,0,,,
3,3,2,0,0,8,1.5,0,8,0,0,,,
3,3,3,0,0,7,3.1,0,7,0,0,,,
3,3,4,0,0,6,3.1,0,6,0,0,,,
3,3,5,0,0,6,0,0,6,0,0,,,
3,3,6,92,2,10,3.1,13.683,8.673,757.806,233.884,,,
3,3,7,528,52,14,4.1,225.938,17.447,17634.66,16749.504,,,
3,3,8,718,81,17,7.7,479.418,23.493,40018.688,38491.043,,,
3,3,9,759,121,19,8.2,688.872,28.542,57683.617,55517.414,,,
3,3,10,847,124,21,12.3,868.6,30.441,72556.25,69762.453,,,
3,3,11,861,137,22,11.3,959.826,33.21,79234.617,76132.258,,,
3,3,12,820,160,23,10.8,954.365,34.564,78273.461,75216.531,,,
3,3,13,731,193,23,7.7,868.928,36.163,70644.156,67935.656,,,
3,3,14,793,128,21,5.1,755.681,35.686,61291.152,58980.273,,,
3,3,15,691,129,19,5.7,556.093,28.959,45847.277,44121.762,,,
3,3,16,481,125,18,3.6,317.755,24.95,25501.217,24411.496,,,
3,3,17,222,16,16,2.1,55.835,16.683,3735.825,3155.856,,,
3,3,18,0,0,14,1.5,0,14,0,0,,,
3,3,19,0,0,12,2.1,0,12,0,0,,,
3,3,20,0,0,9,2.1,0,9,0,0,,,
3,3,21,0,0,8,3.1,0,8,0,0,,,
3,3,22,0,0,7,0,0,7,0,0,,,
3,3,23,0,0,6,2.1,0,6,0,0,,,
3,4,0,0,0,6,0,0,6,0,0,,,
3,4,1,0,0,4,0,0,4,0,0,,,
3,4,2,0,0,6,0,0,6,0,0,,,
3,4,3,0,0,6,0,0,6,0,0,,,
3,4,4,0,0,5,0,0,5,0,0,,,
3,4,5,0,0,4,1.5,0,4,0,0,,,
3,4,6,87,3,5,2.1,14.32,3.435,863.814,337.954,,,
3,4,7,479,59,14,4.6,219.351,17.109,17319.305,16441.867,,,
3,4,8,622,104,19,5.1,454.907,26.884,37507.105,36060.824,,,
3,4,9,707,143,22,7.2,677.314,32.199,55760.258,53669.207,,,
3,4,10,794,145,24,3.1,848.065,43.649,66338.5,63817.086,,,
3,4,11,849,142,24,6.7,956.132,39.702,76427.703,73457.055,,,
3,4,12,718,210,23,7.7,919.854,36.934,74568.273,71683.258,,,
3,4,13,761,175,23,8.2,877.256,35.726,71475.32,68729.914,,,
3,4,14,750,144,22,7.2,741.632,33.647,60776.996,58487.031,,,
3,4,15,638,142,19,9.3,538.935,25.959,45126.695,43426.328,,,
3,4,16,524,120,18,5.7,329.141,23.539,26499.781,25382.449,,,
3,4,17,246,16,16,2.6,59.048,16.691,3888.492,3305.56,,,
3,4,18,0,0,13,3.6,0,13,0,0,,,
3,4,19,0,0,13,0,0,13,0,0,,,
3,4,20,0,0,10,2.1,0,10,0,0,,,
3,4,21,0,0,10,2.1,0,10,0,0,,,
3,4,22,0,0,9,1.5,0,9,0,0,,,
3,4,23,0,0,7,0,0,7,0,0,,,
3,5,0,0,0,6,2.6,0,6,0,0,,,
3,5,1,0,0,7,3.6,0,7,0,0,,,
3,5,2,0,0,7,0,0,7,0,0,,,
3,5,3,0,0,4,0,0,4,0,0,,,
3,5,4,0,0,5,1.5,0,5,0,0,,,
3,5,5,0,0,5,3.1,0,5,0,0,,,
3,5,6,104,4,6,3.1,17.61,4.726,1073.313,543.609,,,
3,5,7,491,59,11,0,224.325,17.749,17671.215,16785.16,,,
3,5,8,702,88,13,0,482.24,31.314,38860.676,37370.84,,,
3,5,9,695,147,15.7,1.1,674.707,36.289,54455.547,52414.695,,,
3,5,10,782,156,18,2.1,855.651,40.449,68043.461,65448.785,,,
3,5,11,819,149,19,6.2,937.743,35.115,76696.82,73713.672,,,
3,5,12,808,162,19,4.1,948.574,39.64,75859.453,72915.109,,,
3,5,13,792,169,19,5.7,899.299,35.399,73391.258,70559.789,,,
3,5,14,725,156,18,5.7,736.49,31.4,61034.324,58733.902,,,
3,5,15,567,164,17,6.7,518.353,25.307,43614.184,41965.969,,,
3,5,16,328,125,16,3.1,257.687,21.842,21227.689,20251.953,,,
3,5,17,157,17,14,2.6,46.264,14.121,3285.992,2714.7,,,
3,5,18,0,0,13,2.1,0,13,0,0,,,
3,5,19,0,0,12,2.1,0,12,0,0,,,
3,5,20,0,0,11,1.5,0,11,0,0,,,
3,5,21,0,0,10,2.6,0,10,0,0,,,
3,5,22,0,0,10,2.1,0,10,0,0,,,
3,5,23,0,0,8,0,0,8,0,0,,,
3,6,0,0,0,9,0,0,9,0,0,,,
3,6,1,0,0,8,3.6,0,8,0,0,,,
3,6,2,0,0,8,3.1,0,8,0,0,,,
3,6,3,0,0,8,3.1,0,8,0,0,,,
3,6,4,0,0,8,2.1,0,8,0,0,,,
3,6,5,0,0,8,2.1,0,8,0,0,,,
3,6,6,68,6,8,2.1,15.84,6.489,1100.544,570.339,,,
3,6,7,128,90,12,2.6,133.976,13.621,11530.943,10788.655,,,
3,6,8,482,151,14,0,429.009,29.709,35127.031,33755.699,,,
3,6,9,643,174,16,3.1,666.949,31.17,55234.117,53163.387,,,
3,6,10,439,302,17,6.7,706.325,28.324,59661.023,57416.113,,,
3,6,11,114,356,17,5.1,485.327,26.222,41453.699,39878.508,,,
3,6,12,6,211,16,4.6,210.246,19.808,18504.941,17598.285,,,
3,6,13,0,201,16,1.5,194.733,20.539,17082.252,16210.597,,,
3,6,14,0,104,16,2.1,98.942,17.435,8803.354,8120.434,,,
3,6,15,0,134,15,4.6,129.096,16.418,11539.314,10796.841,,,
3,6,16,0,46,14,4.1,43.53,13.683,3939.002,3355.089,,,
3,6,17,0,7,14,3.6,6.602,12.615,600.281,79.232,,,
3,6,18,0,0,13,2.1,0,13,0,0,,,
3,6,19,0,0,13,3.1,0,13,0,0,,,
3,6,20,0,0,13,1.5,0,13,0,0,,,
3,6,21,0,0,13,1.2,0,13,0,0,,,
3,6,22,0,0,12.9,0.9,0,12.9,0,0,,,
3,6,23,0,0,12.9,0.6,0,12.9,0,0,,,
3,7,0,0,0,13,0.3,0,13,0,0,,,
3,7,1,0,0,13,0,0,13,0,0,,,
3,7,2,0,0,12.7,0,0,12.7,0,0,,,
3,7,3,0,0,12.5,0,0,12.5,0,0,,,
3,7,4,0,0,12,0,0,12,0,0,,,
3,7,5,0,0,12,0,0,12,0,0,,,
3,7,6,22,6,12,0,8.998,8.354,712.089,189.001,,,
3,7,7,36,87,13,0,98.324,13.758,8728.091,8046.769,,,
3,7,8,340,186,14,1.5,384.314,23.591,32581.48,31287.971,,,
3,7,9,567,201,15,2.6,638.725,30.25,53170.75,51178.711,,,
3,7,10,510,262,16,4.1,734.848,31.681,61069.082,58767.25,,,
3,7,11,443,311,17,6.7,764.958,29.365,64355.035,61917.484,,,
3,7,12,187,387,16,7.2,589.093,25.054,50594.406,48698.402,,,
3,7,13,585,260,17,7.7,812.233,28.884,68441.141,65829.219,,,
3,7,14,582,245,17,8.7,719.401,26.854,60999.617,58700.605,,,
3,7,15,45,215,17,8.7,245.444,20.111,21504.299,20521.391,,,
3,7,16,0,79,15,8.7,75.639,15.317,6794.629,6153.66,,,
3,7,17,0,12,14,5.1,11.328,12.989,1028.255,499.379,,,
3,7,18,0,0,14,6.2,0,14,0,0,,,
3,7,19,0,0,13,6.7,0,13,0,0,,,
3,7,20,0,0,13,5.1,0,13,0,0,,,
3,7,21,0,0,12,9.3,0,12,0,0,,,
3,7,22,0,0,11,6.2,0,11,0,0,,,
3,7,23,0,0,10,6.7,0,10,0,0,,,
3,8,0,0,0,10,7.2,0,10,0,0,,,
3,8,1,0,0,9,2.1,0,9,0,0,,,
3,8,2,0,0,8,2.6,0,8,0,0,,,
3,8,3,0,0,8,2.6,0,8,0,0,,,
3,8,4,0,0,7,4.6,0,7,0,0,,,
3,8,5,0,0,7,2.1,0,7,0,0,,,
3,8,6,135,6,7,3.1,24.054,5.766,1499.402,961.832,,,
3,8,7,477,68,10,3.1,232.852,13.949,18860.775,17945.248,,,
3,8,8,312,188,13,4.1,371.829,20.083,32080.953,30802.461,,,
3,8,9,661,180,14,2.1,689.456,31.533,57017.25,54877.238,,,
3,8,10,812,142,16,1.5,868.143,41.006,68852.258,66222.453,,,
3,8,11,867,137,17,0,975.083,54.294,72208.984,69430.781,,,
3,8,12,808,177,17,1.5,974.534,45.674,75567.977,72637.078,,,
3,8,13,706,208,17,5.1,868.411,33.98,71382.367,68641.094,,,
3,8,14,755,148,16,6.2,753.637,28.948,63205.289,60815.68,,,
3,8,15,520,177,15,5.1,505.412,24.668,42718.848,41101.105,,,
3,8,16,464,132,14,4.1,319.69,20.525,26295.408,25183.758,,,
3,8,17,235,20,13,2.1,60.395,13.771,4129.03,3541.415,,,
3,8,18,0,0,12,0,0,12,0,0,,,
3,8,19,0,0,11,1.5,0,11,0,0,,,
3,8,20,0,0,10,2.1,0,10,0,0,,,
3,8,21,0,0,9,2.6,0,9,0,0,,,
3,8,22,0,0,8,2.1,0,8,0,0,,,
3,8,23,0,0,7,3.1,0,7,0,0,,,
3,9,0,0,0,6,0,0,6,0,0,,,
3,9,1,0,0,5,0,0,5,0,0,,,
3,9,2,0,0,6,0,0,6,0,0,,,
3,9,3,0,0,4,2.1,0,4,0,0,,,
3,9,4,0,0,4,0,0,4,0,0,,,
3,9,5,0,0,5,0,0,5,0,0,,,
3,9,6,114,9,5,0,25.039,2.735,1731.486,1189.602,,,
3,9,7,276,92,12,2.6,188.008,15.035,15661.595,14824.137,,,
3,9,8,347,173,16,2.1,375.538,24.802,31647.104,30381.555,,,
3,9,9,246,282,17,3.1,476.59,27.625,40294.246,38757.531,,,
3,9,10,682,220,17,3.6,844.239,35.405,68883.438,66252.281,,,
3,9,11,778,173,18.2,4.1,937.027,38.447,75388.852,72466.211,,,
3,9,12,856,148,19,4.6,985.21,39.315,78925.039,75837.352,,,
3,9,13,779,178,19,4.1,902.411,38.778,72428.008,69639.977,,,
3,9,14,854,124,19,4.1,801.881,36.535,64790.121,62334.301,,,
3,9,15,693,139,19,2.6,571.718,33.671,46138.441,44402.711,,,
3,9,16,323,148,17,6.2,280.387,21.424,23286.033,22256.244,,,
3,9,17,166,24,14,3.1,52.747,14.295,3820.962,3239.342,,,
3,9,18,0,0,13,0,0,13,0,0,,,
3,9,19,0,0,13,2.1,0,13,0,0,,,
3,9,20,0,0,12,2.1,0,12,0,0,,,
3,9,21,0,0,11,0,0,11,0,0,,,
3,9,22,0,0,11,0,0,11,0,0,,,
3,9,23,0,0,9,0,0,9,0,0,,,
3,10,0,0,0,7,0,0,7,0,0,,,
3,10,1,0,0,7,2.1,0,7,0,0,,,
3,10,2,0,0,7,0,0,7,0,0,,,
3,10,3,0,0,6,3.1,0,6,0,0,,,
3,10,4,0,0,6,2.6,0,6,0,0,,,
3,10,5,0,0,6,0,0,6,0,0,,,
3,10,6,173,8,8,4.6,31.096,7.224,1934.905,1389.224,,,
3,10,7,433,86,12,2.1,237.672,16.597,19296.865,18370.402,,,
3,10,8,108,201,14,0,263.203,24.469,22471.215,21463.012,,,
3,10,9,591,207,17,2.6,666.684,32.558,54903.672,52845.652,,,
3,10,10,765,169,19,3.6,864.182,38.185,69535.734,66876.055,,,
3,10,11,874,137,19,4.1,985.338,40.257,78555.477,75485.258,,,
3,10,12,778,194,19,5.7,967.447,36.671,78538.281,75468.867,,,
3,10,13,834,154,19,4.1,922.198,39.152,73875.117,71021.703,,,
3,10,14,810,134,20,5.1,782.467,35.273,63632.637,61225.266,,,
3,10,15,674,137,20,3.1,558.935,33.469,45162.23,43460.625,,,
3,10,16,563,117,19,5.1,342.612,25.26,27335.961,26195.221,,,
3,10,17,295,20,17,2.6,68.414,17.985,4432.467,3838.911,,,
3,10,18,0,0,15,0,0,15,0,0,,,
3,10,19,0,0,14,5.1,0,14,0,0,,,
3,10,20,0,0,13,0,0,13,0,0,,,
3,10,21,0,0,12,0,0,12,0,0,,,
3,10,22,0,0,13,1.5,0,13,0,0,,,
3,10,23,0,0,13,2.6,0,13,0,0,,,
3,11,0,0,0,11.9,2.3,0,11.9,0,0,,,
3,11,1,0,0,10.8,2.1,0,10.8,0,0,,,
3,11,2,0,0,9.9,1.8,0,9.9,0,0,,,
3,11,3,0,0,9,1.5,0,9,0,0,,,
3,11,4,0,0,8,3.1,0,8,0,0,,,
3,11,5,0,0,8,1.5,0,8,0,0,,,
3,11,6,189,9,10,2.1,34.239,9.116,2121.282,1572.108,,,
3,11,7,534,63,13,2.6,250.297,17.656,19896.926,18955.299,,,
3,11,8,701,94,16,1.5,499.114,29.414,40746.008,39194.359,,,
3,11,9,773,126,18,0,719.901,45.619,55448.305,53369.313,,,
3,11,10,789,155,22,2.6,871.518,43.442,68280.406,65675.469,,,
3,11,11,766,182,20,6.7,938.678,35.401,76679.75,73697.398,,,
3,11,12,802,178,21,5.1,974.138,39.942,77796.086,74761.594,,,
3,11,13,749,187,21,4.6,887.495,39.427,71004.539,68280.063,,,
3,11,14,779,137,19,4.6,762.725,34.774,62188.594,59840.973,,,
3,11,15,660,148,19,3.6,562.262,31.825,45827.594,44102.77,,,
3,11,16,335,149,19,3.1,285.867,25.621,23266.451,22237.186,,,
3,11,17,178,26,17,1.5,55.978,17.765,3984.101,3399.31,,,
3,11,18,0,0,15,0,0,15,0,0,,,
3,11,19,0,0,14,0,0,14,0,0,,,
3,11,20,0,0,14,0,0,14,0,0,,,
3,11,21,0,0,12,2.1,0,12,0,0,,,
3,11,22,0,0,12,0,0,12,0,0,,,
3,11,23,0,0,11,1.5,0,11,0,0,,,
3,12,0,0,0,10,2.1,0,10,0,0,,,
3,12,1,0,0,10,2.1,0,10,0,0,,,
3,12,2,0,0,9,2.1,0,9,0,0,,,
3,12,3,0,0,9,3.6,0,9,0,0,,,
3,12,4,0,0,9,2.1,0,9,0,0,,,
3,12,5,0,0,7,2.1,0,7,0,0,,,
3,12,6,135,13,9,2.1,32.316,8.001,2251.896,1700.267,,,
3,12,7,384,86,13,1.5,223.392,17.622,18181.955,17283.313,,,
3,12,8,616,125,16,1.5,486.317,28.953,39923.84,38399.313,,,
3,12,9,568,200,17,1.5,644.953,35.282,52424.547,50460.578,,,
3,12,10,718,192,19,3.1,851.147,38.785,68293.516,65688.008,,,
3,12,11,688,222,19,5.1,909.194,36.569,73846.164,70994.07,,,
3,12,12,724,218,18,3.6,944.217,39.44,75600.656,72668.25,,,
3,12,13,712,205,19,5.1,874.479,36.054,71157.844,68426.563,,,
3,12,14,736,155,18,5.1,749.74,32.564,61812.066,59479.898,,,
3,12,15,673,139,18,3.6,561.404,30.792,45972.793,44242.875,,,
3,12,16,566,118,17,3.6,345.232,24.579,27648.988,26499.42,,,
3,12,17,0,0,16,2.6,0,16,0,0,,,
3,12,18,0,0,14,0,0,14,0,0,,,
3,12,19,0,0,14,2.1,0,14,0,0,,,
3,12,20,0,0,13,0,0,13,0,0,,,
3,12,21,0,0,13,0,0,13,0,0,,,
3,12,22,0,0,11,0,0,11,0,0,,,
3,12,23,0,0,11,0,0,11,0,0,,,
3,13,0,0,0,10,3.1,0,10,0,0,,,
3,13,1,0,0,12,2.1,0,12,0,0,,,
3,13,2,0,0,12,3.6,0,12,0,0,,,
3,13,3,0,0,12,2.6,0,12,0,0,,,
3,13,4,0,0,11,3.1,0,11,0,0,,,
3,13,5,0,0,11,3.1,0,11,0,0,,,
3,13,6,149,14,11,4.6,35.181,10.243,2416.555,1861.821,,,
3,13,7,364,95,13,3.1,226.87,16.852,18656.244,17745.822,,,
3,13,8,308,202,15,3.1,387.355,23.174,33017.762,31711.084,,,
3,13,9,668,185,17,3.6,707.916,32.241,58389.836,56195.691,,,
3,13,10,795,155,18,6.2,876.331,32.872,72399.68,69612.922,,,
3,13,11,862,136,20,7.7,978.168,34.703,80182.789,77035.281,,,
3,13,12,844,156,21,10.8,988.266,32.96,81711.813,78490.781,,,
3,13,13,834,151,20,12.3,922.526,30.186,77244.805,74236.109,,,
3,13,14,754,161,19,10.8,770.745,28.226,64892.094,62431.98,,,
3,13,15,570,171,19,9.3,530.603,25.868,44584.168,42902.605,,,
3,13,16,521,128,17,8.7,338.301,21.265,27645.023,26495.566,,,
3,13,17,0,0,16,8.2,0,16,0,0,,,
3,13,18,0,0,14,7.7,0,14,0,0,,,
3,13,19,0,0,13,9.3,0,13,0,0,,,
3,13,20,0,0,12,6.7,0,12,0,0,,,
3,13,21,0,0,11,2.6,0,11,0,0,,,
3,13,22,0,0,9,2.1,0,9,0,0,,,
3,13,23,0,0,9,1.5,0,9,0,0,,,
3,14,0,0,0,5,0,0,5,0,0,,,
3,14,1,0,0,6,1.5,0,6,0,0,,,
3,14,2,0,0,4,0,0,4,0,0,,,
3,14,3,0,0,4,1.5,0,4,0,0,,,
3,14,4,0,0,3,2.1,0,3,0,0,,,
3,14,5,0,0,3,2.1,0,3,0,0,,,
3,14,6,220,12,5,1.5,41.5,3.854,2681.642,2121.89,,,
3,14,7,593,60,9,1.5,271.381,15.072,21826.564,20835.264,,,
3,14,8,720,93,12,1.5,514.116,25.999,42715.633,41098,,,
3,14,9,750,137,13,2.1,720.322,31.784,59515.066,57276.02,,,
3,14,10,783,160,16,5.7,876.897,31.666,72878.148,70069.859,,,
3,14,11,772,198,17,6.2,966.026,33.612,79617.164,76496.625,,,
3,14,12,627,252,17,7.2,888.998,31.002,74211.305,71342.586,,,
3,14,13,609,251,18,3.6,828.924,36.919,67171.523,64614.449,,,
3,14,14,667,179,18,2.6,722.88,36.367,58517.012,56317.813,,,
3,14,15,742,122,18,4.1,586.068,30.675,47974.953,46174.059,,,
3,14,16,576,118,17,3.1,349.447,25.174,27907.553,26750.662,,,
3,14,17,0,0,15,5.1,0,15,0,0,,,
3,14,18,0,0,13,4.6,0,13,0,0,,,
3,14,19,0,0,12,3.6,0,12,0,0,,,
3,14,20,0,0,11,3.6,0,11,0,0,,,
3,14,21,0,0,8,3.1,0,8,0,0,,,
3,14,22,0,0,8,3.6,0,8,0,0,,,
3,14,23,0,0,7,2.6,0,7,0,0,,,
3,15,0,0,0,5,3.1,0,5,0,0,,,
3,15,1,0,0,5,2.1,0,5,0,0,,,
3,15,2,0,0,3,1.5,0,3,0,0,,,
3,15,3,0,0,3,2.6,0,3,0,0,,,
3,15,4,0,0,4,3.1,0,4,0,0,,,
3,15,5,0,0,4,0,0,4,0,0,,,
3,15,6,213,14,4,0,42.675,1.694,2858.165,2295.056,,,
3,15,7,510,74,10,0,259.063,18.443,20778.463,19814.314,,,
3,15,8,714,97,13,2.6,516.899,24.965,43191.043,41557.27,,,
3,15,9,809,119,16,4.1,744.626,31.646,61555.59,59233.914,,,
3,15,10,843,136,16,4.1,901.953,35.389,73605.32,70764.156,,,
3,15,11,850,150,16,8.7,985.181,29.651,82770.781,79498.328,,,
3,15,12,748,215,17,7.2,967.296,32.255,80257.734,77106.641,,,
3,15,13,761,186,17,9.3,900.85,28.982,75876.75,72931.609,,,
3,15,14,741,163,16,9.3,764.1,26.076,65002.461,62537.695,,,
3,15,15,697,133,15,11.3,570.948,21.42,48868.723,47035.664,,,
3,15,16,560,119,14,9.8,344.475,17.999,28473.111,27300.123,,,
3,15,17,0,0,12,10.8,0,12,0,0,,,
3,15,18,0,0,12,7.2,0,12,0,0,,,
3,15,19,0,0,11,7.2,0,11,0,0,,,
3,15,20,0,0,10,5.1,0,10,0,0,,,
3,15,21,0,0,9,6.2,0,9,0,0,,,
3,15,22,0,0,8,0,0,8,0,0,,,
3,15,23,0,0,7,2.6,0,7,0,0,,,
3,16,0,0,0,5,3.1,0,5,0,0,,,
3,16,1,0,0,5,1.5,0,5,0,0,,,
3,16,2,0,0,4,0,0,4,0,0,,,
3,16,3,0,0,3,3.1,0,3,0,0,,,
3,16,4,0,0,3,0,0,3,0,0,,,
3,16,5,0,0,3,0,0,3,0,0,,,
3,16,6,229,15,4,0,45.687,1.783,3053.34,2486.506,,,
3,16,7,554,68,8,1.5,269.437,14.033,21962.756,20967.896,,,
3,16,8,726,94,12,9.3,522.279,18.303,45016.793,43320.242,,,
3,16,9,757,138,13,7.2,730.184,23.999,62629.277,60263.504,,,
3,16,10,813,149,14,10.8,891.1,24.517,76633.008,73652.82,,,
3,16,11,844,146,15,11.8,976.717,25.985,83506.641,80198.203,,,
3,16,12,820,172,16,11.8,986.062,27.154,83845.203,80520.141,,,
3,16,13,791,173,15,12.3,914.664,25.022,78501.547,75433.867,,,
3,16,14,784,146,15,12.9,779.965,23.19,67248.117,64687.754,,,
3,16,15,639,152,15,13.9,555.774,20.387,47859.176,46062.43,,,
3,16,16,573,122,14,12.9,352.66,17.36,29240.084,28045.072,,,
3,16,17,0,0,12,11.8,0,12,0,0,,,
3,16,18,0,0,11,11.3,0,11,0,0,,,
3,16,19,0,0,11,9.3,0,11,0,0,,,
3,16,20,0,0,10,3.6,0,10,0,0,,,
3,16,21,0,0,9,6.2,0,9,0,0,,,
3,16,22,0,0,7,1.5,0,7,0,0,,,
3,16,23,0,0,6,1.5,0,6,0,0,,,
3,17,0,0,0,5,1.5,0,5,0,0,,,
3,17,1,0,0,0,1.5,0,0,0,0,,,
3,17,2,0,0,2,0,0,2,0,0,,,
3,17,3,0,0,3,2.1,0,3,0,0,,,
3,17,4,0,0,2,0,0,2,0,0,,,
3,17,5,0,0,3,3.1,0,3,0,0,,,
3,17,6,246,16,2,0,48.695,-0.106,3269.355,2698.383,,,
3,17,7,497,92,8,2.1,273.671,13.626,22649.195,21636.299,,,
3,17,8,263,225,11,0,388.115,26.431,32685.773,31389.123,,,
3,17,9,88,270,12.2,4.1,339.131,18.889,29927.984,28713.033,,,
3,17,10,552,301,13,5.7,822.809,27.148,69914.492,67238.18,,,
3,17,11,593,309,14,7.2,913.112,28.205,77256.945,74247.695,,,
3,17,12,0,173,13,11.3,166.371,14.682,14987.788,14166.287,,,
3,17,13,0,155,13,9.8,148.639,14.161,13421.629,12636.567,,,
3,17,14,99,315,13,8.7,397.717,17.748,35293.406,33916.902,,,
3,17,15,0,77,13,7.7,72.995,13.442,6612.381,5975.144,,,
3,17,16,100,155,11,6.2,194.115,13.235,17219.432,16344.433,,,
3,17,17,0,0,11,4.6,0,11,0,0,,,
3,17,18,0,0,11,8.2,0,11,0,0,,,
3,17,19,0,0,11,8.7,0,11,0,0,,,
3,17,20,0,0,9,7.2,0,9,0,0,,,
3,17,21,0,0,9,6.2,0,9,0,0,,,
3,17,22,0,0,8,4.6,0,8,0,0,,,
3,17,23,0,0,7,3.1,0,7,0,0,,,
3,18,0,0,0,7,4.6,0,7,0,0,,,
3,18,1,0,0,7,6.7,0,7,0,0,,,
3,18,2,0,0,7,4.6,0,7,0,0,,,
3,18,3,0,0,4,3.6,0,4,0,0,,,
3,18,4,0,0,3,3.6,0,3,0,0,,,
3,18,5,0,0,2,2.1,0,2,0,0,,,
3,18,6,267,17,4,2.1,52.174,3.282,3433.769,2859.635,,,
3,18,7,605,63,8,2.6,285.028,13.581,23242.484,22213.855,,,
3,18,8,745,100,12,1.5,543.321,26.874,45053.473,43355.648,,,
3,18,9,845,108,12,2.1,765.831,32.063,63200.699,60811.285,,,
3,18,10,879,122,14,2.1,924.065,38.585,74228.258,71358.766,,,
3,18,11,892,136,16,2.6,1007.377,41.358,79878.602,76745.609,,,
3,18,12,772,205,18,4.6,982.813,38.392,79112.633,76016.063,,,
3,18,13,766,186,18,10.8,907.736,28.929,76481.633,73508.484,,,
3,18,14,784,147,17,10.8,782.22,26.33,66462.891,63936.168,,,
3,18,15,778,114,16,8.7,600.974,24.152,50740.711,48839.32,,,
3,18,16,605,114,15,8.2,357.138,19.758,29206.785,28012.732,,,
3,18,17,0,0,13,5.7,0,13,0,0,,,
3,18,18,0,0,12,1.5,0,12,0,0,,,
3,18,19,0,0,10,0,0,10,0,0,,,
3,18,20,0,0,8,3.6,0,8,0,0,,,
3,18,21,0,0,8,3.1,0,8,0,0,,,
3,18,22,0,0,8,0,0,8,0,0,,,
3,18,23,0,0,6,1.5,0,6,0,0,,,
3,19,0,0,0,7,2.1,0,7,0,0,,,
3,19,1,0,0,4,1.5,0,4,0,0,,,
3,19,2,0,0,6,3.6,0,6,0,0,,,
3,19,3,0,0,3,0,0,3,0,0,,,
3,19,4,0,0,4,2.1,0,4,0,0,,,
3,19,5,0,0,2,1.5,0,2,0,0,,,
3,19,6,284,17,7.3,2.1,54.087,6.679,3467.975,2893.182,,,
3,19,7,585,68,14,2.6,284.789,19.591,22701.242,21686.971,,,
3,19,8,757,97,17,0,548.864,37.836,43156.676,41524.07,,,
3,19,9,834,112,21,3.1,763.759,38.548,61054.816,58753.563,,,
3,19,10,867,127,20,6.7,920.622,34.984,75292.961,72374.727,,,
3,19,11,880,142,19,6.2,1011.369,36.456,82198.414,78953.797,,,
3,19,12,802,190,19,5.7,996.592,37.228,80690.867,77519.023,,,
3,19,13,821,160,19,6.2,926.052,35.09,75721.156,72783.203,,,
3,19,14,827,136,19,5.7,801.856,33.62,65775.828,63278.348,,,
3,19,15,663,146,18,5.1,565.085,28.915,46745.379,44988.254,,,
3,19,16,596,113,17,3.1,352.747,25.199,28137.406,26973.986,,,
3,19,17,0,0,16,3.6,0,16,0,0,,,
3,19,18,0,0,13,2.1,0,13,0,0,,,
3,19,19,0,0,12,0,0,12,0,0,,,
3,19,20,0,0,9,3.1,0,9,0,0,,,
3,19,21,0,0,9,2.1,0,9,0,0,,,
3,19,22,0,0,8,2.1,0,8,0,0,,,
3,19,23,0,0,8,2.6,0,8,0,0,,,
3,20,0,0,0,8,1.5,0,8,0,0,,,
3,20,1,0,0,6,0,0,6,0,0,,,
3,20,2,0,0,7,0,0,7,0,0,,,
3,20,3,0,0,6,1.5,0,6,0,0,,,
3,20,4,0,0,5,0,0,5,0,0,,,
3,20,5,0,0,6,1.5,0,6,0,0,,,
3,20,6,271,20,7,0,55.431,5.32,3687.167,3108.14,,,
3,20,7,538,77,11,1.5,278.842,17.351,22617.906,21605.836,,,
3,20,8,740,102,14,1.5,546.277,28.883,44914.586,43221.582,,,
3,20,9,781,132,18,3.6,746.485,34.406,60938.785,58642.25,,,
3,20,10,796,161,19,3.6,895.111,39.017,71758.641,69000.594,,,
