PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
1,4,14,579,135,16,3.1,524.968,28.606,4361.249,4196.433,,
1,4,15,531,106,16,2.1,373.418,25.827,3048.188,2925.075,,
1,4,16,273,18,14,1.9,104.018,16.263,788.984,722.619,,
1,4,17,0,0,13,1.7,0,13,0,0,,
1,4,18,0,0,12,1.5,0,12,0,0,,
1,4,19,0,0,12,4.1,0,12,0,0,,
1,4,20,0,0,9,2.6,0,9,0,0,,
1,4,21,0,0,9,2.6,0,9,0,0,,
1,4,22,0,0,8,2.6,0,8,0,0,,
1,4,23,0,0,8,2.6,0,8,0,0,,
1,5,0,0,0,7,2.1,0,7,0,0,,
1,5,1,0,0,7,1.5,0,7,0,0,,
1,5,2,0,0,7,3.6,0,7,0,0,,
1,5,3,0,0,6,3.4,0,6,0,0,,
1,5,4,0,0,7,3.2,0,7,0,0,,
1,5,5,0,0,7,3,0,7,0,0,,
1,5,6,0,0,7,2.8,0,7,0,0,,
1,5,7,126,19,7,2.6,62.642,6.983,515.029,454.255,,
1,5,8,293,91,10,2.6,238.755,14.433,2064.114,1968.052,,
1,5,9,681,106,14,2.6,554.197,26.811,4631.281,4457.095,,
1,5,10,747,99,16,2.6,677.943,32.629,5571.744,5362.804,,
1,5,11,843,93,18,1.5,791.837,40.851,6268.388,6031.585,,
1,5,12,830,108,20,2.1,800.22,41.34,6320.252,6081.303,,
1,5,13,729,149,19,4.1,724.86,34.731,5902.214,5680.282,,
1,5,14,418,166,18,2.6,460.134,29.791,3812.783,3666.167,,
1,5,15,448,134,17,2.6,366.02,25.77,3009.889,2887.896,,
1,5,16,234,24,16,2.1,101.56,18.087,780.911,714.714,,
1,5,17,0,0,14,1.8,0,14,0,0,,
1,5,18,0,0,13,1.5,0,13,0,0,,
1,5,19,0,0,11.9,1.7,0,11.9,0,0,,
1,5,20,0,0,11,1.9,0,11,0,0,,
1,5,21,0,0,9,2.1,0,9,0,0,,
1,5,22,0,0,8,2.2,0,8,0,0,,
1,5,23,0,0,9,2.4,0,9,0,0,,
1,6,0,0,0,9,2.6,0,9,0,0,,
1,6,1,0,0,9,2.6,0,9,0,0,,
1,6,2,0,0,9,2.6,0,9,0,0,,
1,6,3,0,0,8,2.6,0,8,0,0,,
1,6,4,0,0,8,2.6,0,8,0,0,,
1,6,5,0,0,8,2.1,0,8,0,0,,
1,6,6,0,0,8,2,0,8,0,0,,
1,6,7,224,15,9,1.8,84.986,9.67,661.827,598.092,,
1,6,8,532,61,11,1.7,320.353,18.441,2678.076,2565.559,,
1,6,9,653,92,14,1.5,521.476,28.348,4324.499,4160.937,,
1,6,10,630,133,17,1.5,631.144,35.033,5130.298,4938.081,,
1,6,11,813,119,18,2.6,802.349,37.733,6453.851,6209.326,,
1,6,12,618,197,19,2.1,732.027,38.725,5863.615,5643.221,,
1,6,13,383,216,20,2.1,532.867,34.501,4352.711,4188.188,,
1,6,14,238,182,18,4.6,351.863,24.815,2996.085,2874.494,,
1,6,15,0,64,17,1.5,61.492,18.206,545.209,483.832,,
1,6,16,0,0,16,2.1,0,16,0,0,,
1,6,17,0,0,15,2.1,0,15,0,0,,
1,6,18,0,0,14,2.1,0,14,0,0,,
1,6,19,0,0,13,2.1,0,13,0,0,,
1,6,20,0,0,12,2.1,0,12,0,0,,
1,6,21,0,0,11,2.1,0,11,0,0,,
1,6,22,0,0,11,1.5,0,11,0,0,,
1,6,23,0,0,10,1.5,0,10,0,0,,
1,7,0,0,0,9,1.7,0,9,0,0,,
1,7,1,0,0,9,1.9,0,9,0,0,,
1,7,2,0,0,10,2.1,0,10,0,0,,
1,7,3,0,0,8,2.2,0,8,0,0,,
1,7,4,0,0,8,2.4,0,8,0,0,,
1,7,5,0,0,8,2.6,0,8,0,0,,
1,7,6,0,0,7,2.2,0,7,0,0,,
1,7,7,263,15,9,1.9,94.015,9.525,724.206,659.187,,
1,7,8,378,90,11,1.5,281.622,17.596,2390.151,2285.526,,
1,7,9,40,159,17,3.1,192.641,20.7,1683.196,1596.639,,
1,7,10,12,182,19,1.5,190.224,23.365,1646.231,1560.567,,
