PVWatts: Hourly PV Performance Data,,,,,,,,,,,,
Requested Location:,thousand oaks california,,,,,,,,,,,
Location:,"CAMARILLO (AWOS), CA",,,,,,,,,,,
Lat (deg N):,34.22,,,,,,,,,,,
Long (deg W):,119.08,,,,,,,,,,,
Elev (m):,23,,,,,,,,,,,
DC System Size (kW):,10,,,,,,,,,,,
Module Type:,Standard,,,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,,,
System Losses:,14.08,,,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.118,,,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,,,
,,,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,
3,15,21,0,0,9,6.2,0,9,0,0,,
3,15,22,0,0,8,0,0,8,0,0,,
3,15,23,0,0,7,2.6,0,7,0,0,,
3,16,0,0,0,5,3.1,0,5,0,0,,
3,16,1,0,0,5,1.5,0,5,0,0,,
3,16,2,0,0,4,0,0,4,0,0,,
3,16,3,0,0,3,3.1,0,3,0,0,,
3,16,4,0,0,3,0,0,3,0,0,,
3,16,5,0,0,3,0,0,3,0,0,,
3,16,6,229,15,4,0,45.687,1.783,305.334,248.651,,
3,16,7,554,68,8,1.5,269.437,14.033,2196.276,2096.79,,
3,16,8,726,94,12,9.3,522.279,18.303,4501.679,4332.024,,
3,16,9,757,138,13,7.2,730.184,23.999,6262.928,6026.351,,
3,16,10,813,149,14,10.8,891.1,24.517,7663.301,7365.282,,
3,16,11,844,146,15,11.8,976.717,25.985,8350.664,8019.82,,
3,16,12,820,172,16,11.8,986.062,27.154,8384.521,8052.014,,
3,16,13,791,173,15,12.3,914.664,25.022,7850.154,7543.387,,
3,16,14,784,146,15,12.9,779.965,23.19,6724.812,6468.775,,
3,16,15,639,152,15,13.9,555.774,20.387,4785.917,4606.243,,
3,16,16,573,122,14,12.9,352.66,17.36,2924.009,2804.507,,
3,16,17,0,0,12,11.8,0,12,0,0,,
3,16,18,0,0,11,11.3,0,11,0,0,,
3,16,19,0,0,11,9.3,0,11,0,0,,
3,16,20,0,0,10,3.6,0,10,0,0,,
3,16,21,0,0,9,6.2,0,9,0,0,,
3,16,22,0,0,7,1.5,0,7,0,0,,
3,16,23,0,0,6,1.5,0,6,0,0,,
3,17,0,0,0,5,1.5,0,5,0,0,,
3,17,1,0,0,0,1.5,0,0,0,0,,
3,17,2,0,0,2,0,0,2,0,0,,
3,17,3,0,0,3,2.1,0,3,0,0,,
3,17,4,0,0,2,0,0,2,0,0,,
3,17,5,0,0,3,3.1,0,3,0,0,,
3,17,6,246,16,2,0,48.695,-0.106,326.935,269.838,,
3,17,7,497,92,8,2.1,273.671,13.626,2264.919,2163.63,,
3,17,8,263,225,11,0,388.115,26.431,3268.577,3138.912,,
3,17,9,88,270,12.2,4.1,339.131,18.889,2992.798,2871.303,,
3,17,10,552,301,13,5.7,822.809,27.148,6991.449,6723.818,,
3,17,11,593,309,14,7.2,913.112,28.205,7725.695,7424.769,,
3,17,12,0,173,13,11.3,166.371,14.682,1498.779,1416.629,,
3,17,13,0,155,13,9.8,148.639,14.161,1342.163,1263.657,,
3,17,14,99,315,13,8.7,397.717,17.748,3529.341,3391.69,,
3,17,15,0,77,13,7.7,72.995,13.442,661.238,597.514,,
3,17,16,100,155,11,6.2,194.115,13.235,1721.943,1634.443,,
3,17,17,0,0,11,4.6,0,11,0,0,,
3,17,18,0,0,11,8.2,0,11,0,0,,
3,17,19,0,0,11,8.7,0,11,0,0,,
3,17,20,0,0,9,7.2,0,9,0,0,,
3,17,21,0,0,9,6.2,0,9,0,0,,
3,17,22,0,0,8,4.6,0,8,0,0,,
3,17,23,0,0,7,3.1,0,7,0,0,,
3,18,0,0,0,7,4.6,0,7,0,0,,
3,18,1,0,0,7,6.7,0,7,0,0,,
3,18,2,0,0,7,4.6,0,7,0,0,,
3,18,3,0,0,4,3.6,0,4,0,0,,
3,18,4,0,0,3,3.6,0,3,0,0,,
3,18,5,0,0,2,2.1,0,2,0,0,,
3,18,6,267,17,4,2.1,52.174,3.282,343.377,285.964,,
3,18,7,605,63,8,2.6,285.028,13.581,2324.248,2221.385,,
3,18,8,745,100,12,1.5,543.321,26.874,4505.347,4335.565,,
3,18,9,845,108,12,2.1,765.831,32.063,6320.07,6081.128,,
3,18,10,879,122,14,2.1,924.065,38.585,7422.826,7135.876,,
3,18,11,892,136,16,2.6,1007.377,41.358,7987.86,7674.561,,
3,18,12,772,205,18,4.6,982.813,38.392,7911.263,7601.606,,
3,18,13,766,186,18,10.8,907.736,28.929,7648.163,7350.848,,
3,18,14,784,147,17,10.8,782.22,26.33,6646.289,6393.617,,
3,18,15,778,114,16,8.7,600.974,24.152,5074.071,4883.932,,
3,18,16,605,114,15,8.2,357.138,19.758,2920.678,2801.273,,
3,18,17,0,0,13,5.7,0,13,0,0,,
3,18,18,0,0,12,1.5,0,12,0,0,,
3,18,19,0,0,10,0,0,10,0,0,,
3,18,20,0,0,8,3.6,0,8,0,0,,
3,18,21,0,0,8,3.1,0,8,0,0,,
3,18,22,0,0,8,0,0,8,0,0,,
3,18,23,0,0,6,1.5,0,6,0,0,,
3,19,0,0,0,7,2.1,0,7,0,0,,
3,19,1,0,0,4,1.5,0,4,0,0,,
3,19,2,0,0,6,3.6,0,6,0,0,,
3,19,3,0,0,3,0,0,3,0,0,,
3,19,4,0,0,4,2.1,0,4,0,0,,
3,19,5,0,0,2,1.5,0,2,0,0,,
3,19,6,284,17,7.3,2.1,54.087,6.679,346.798,289.318,,
3,19,7,585,68,14,2.6,284.789,19.591,2270.124,2168.697,,
3,19,8,757,97,17,0,548.864,37.836,4315.667,4152.407,,
3,19,9,834,112,21,3.1,763.759,38.548,6105.482,5875.356,,
3,19,10,867,127,20,6.7,920.622,34.984,7529.296,7237.472,,
3,19,11,880,142,19,6.2,1011.369,36.456,8219.841,7895.38,,
3,19,12,802,190,19,5.7,996.592,37.228,8069.087,7751.902,,
3,19,13,821,160,19,6.2,926.052,35.09,7572.116,7278.32,,
3,19,14,827,136,19,5.7,801.856,33.62,6577.583,6327.835,,
3,19,15,663,146,18,5.1,565.085,28.915,4674.538,4498.825,,
3,19,16,596,113,17,3.1,352.747,25.199,2813.741,2697.399,,
3,19,17,0,0,16,3.6,0,16,0,0,,
3,19,18,0,0,13,2.1,0,13,0,0,,
3,19,19,0,0,12,0,0,12,0,0,,
3,19,20,0,0,9,3.1,0,9,0,0,,
3,19,21,0,0,9,2.1,0,9,0,0,,
3,19,22,0,0,8,2.1,0,8,0,0,,
3,19,23,0,0,8,2.6,0,8,0,0,,
3,20,0,0,0,8,1.5,0,8,0,0,,
3,20,1,0,0,6,0,0,6,0,0,,
3,20,2,0,0,7,0,0,7,0,0,,
3,20,3,0,0,6,1.5,0,6,0,0,,
3,20,4,0,0,5,0,0,5,0,0,,
3,20,5,0,0,6,1.5,0,6,0,0,,
3,20,6,271,20,7,0,55.431,5.32,368.717,310.814,,
3,20,7,538,77,11,1.5,278.842,17.351,2261.791,2160.584,,
3,20,8,740,102,14,1.5,546.277,28.883,4491.458,4322.158,,
3,20,9,781,132,18,3.6,746.485,34.406,6093.878,5864.225,,
3,20,10,796,161,19,3.6,895.111,39.017,7175.864,6900.06,,
3,20,11,850,145,21,3.1,987.208,44.307,7710.696,7410.47,,
3,20,12,892,137,21,4.6,1015.225,41.994,8024.554,7709.502,,
3,20,13,815,169,21,5.1,930.764,39.238,7455.092,7166.67,,
3,20,14,666,219,21,4.1,765.418,37.789,6155.479,5923.315,,
3,20,15,242,260,19,3.6,414.68,28.574,3469.821,3334.016,,
3,20,16,425,176,17,3.6,347.792,24.307,2844.828,2727.6,,
3,20,17,0,0,15,2.1,0,15,0,0,,
3,20,18,0,0,13,2.1,0,13,0,0,,
3,20,19,0,0,12,0,0,12,0,0,,
3,20,20,0,0,12,0,0,12,0,0,,
3,20,21,0,0,11,2.6,0,11,0,0,,
3,20,22,0,0,9,0,0,9,0,0,,
3,20,23,0,0,8,1.5,0,8,0,0,,
3,21,0,0,0,8,2.1,0,8,0,0,,
3,21,1,0,0,8,2.1,0,8,0,0,,
3,21,2,0,0,7,3.6,0,7,0,0,,
3,21,3,0,0,8,0,0,8,0,0,,
3,21,4,0,0,7,1.5,0,7,0,0,,
3,21,5,0,0,7,1.5,0,7,0,0,,
3,21,6,97,26,8,0,38.335,5.514,305.319,248.636,,
3,21,7,459,113,10,1.5,286.391,16.503,2372.013,2267.875,,
3,21,8,356,207,13,0,424.94,29.768,3514.236,3377.055,,
3,21,9,558,221,19,1.5,670.361,37.685,5391.309,5189.292,,
3,21,10,612,236,18,5.1,814.9,33.488,6716.007,6460.349,,
3,21,11,671,248,19,4.1,930.122,39.025,7463.518,7174.711,,
3,21,12,754,211,19,4.6,974.586,39.091,7817.82,7512.575,,
3,21,13,742,216,19,4.6,919.635,38.071,7409.927,7123.566,,
3,21,14,506,262,19,4.1,683.02,34.088,5598.121,5388.16,,
3,21,15,726,139,17,3.1,596.571,31.145,4879.521,4696.481,,
3,21,16,600,115,16,5.1,356.502,22.554,2880.693,2762.438,,
3,21,17,0,0,14,4.1,0,14,0,0,,
3,21,18,0,0,12,0,0,12,0,0,,
3,21,19,0,0,11,1.5,0,11,0,0,,
3,21,20,0,0,11,0,0,11,0,0,,
3,21,21,0,0,9,1.5,0,9,0,0,,
3,21,22,0,0,6,2.1,0,6,0,0,,
3,21,23,0,0,6,2.6,0,6,0,0,,
3,22,0,0,0,6,0,0,6,0,0,,
3,22,1,0,0,5,2.1,0,5,0,0,,
3,22,2,0,0,5,3.1,0,5,0,0,,
3,22,3,0,0,7,3.1,0,7,0,0,,
3,22,4,0,0,5.2,2.6,0,5.2,0,0,,
3,22,5,0,0,4,2.1,0,4,0,0,,
3,22,6,310,21,7,0,60.872,5.566,397.549,339.087,,
3,22,7,590,71,10,2.6,294.315,15.844,2398.683,2293.827,,
3,22,8,718,109,13,0,544.494,33.932,4374.638,4209.364,,
3,22,9,711,167,16,2.1,735.862,35.165,5988.787,5763.384,,
3,22,10,814,164,17,4.1,917.386,36.666,7442.042,7154.216,,
3,22,11,862,141,18,3.6,997.155,40.588,7938.32,7627.378,,
3,22,12,808,188,18,5.7,997.467,36.22,8117.022,7797.533,,
3,22,13,864,151,17,6.2,957.892,33.622,7889.542,7580.913,,
3,22,14,678,233,17,5.7,789.272,31.423,6550.141,6301.556,,
3,22,15,89,245,17,5.1,300.05,22.783,2592.42,2482.283,,
3,22,16,380,185,16,4.6,339.257,22.114,2816.567,2700.145,,
3,22,17,0,0,14,3.6,0,14,0,0,,
3,22,18,0,0,13,2.1,0,13,0,0,,
3,22,19,0,0,12,2.6,0,12,0,0,,
3,22,20,0,0,13,2.1,0,13,0,0,,
3,22,21,0,0,14,3.1,0,14,0,0,,
3,22,22,0,0,13,2.6,0,13,0,0,,
3,22,23,0,0,13,1.5,0,13,0,0,,
3,23,0,0,0,13,2.1,0,13,0,0,,
3,23,1,0,0,12,1.5,0,12,0,0,,
3,23,2,0,0,12,2.1,0,12,0,0,,
3,23,3,0,0,12.1,1.1,0,12.1,0,0,,
3,23,4,0,0,12,0,0,12,0,0,,
3,23,5,0,0,12,0,0,12,0,0,,
3,23,6,20,29,12,2.1,30.284,10.8,266.619,210.673,,
3,23,7,5,110,13,1.5,107.507,14.145,968.802,898.615,,
3,23,8,23,201,14,1.5,208.568,18.506,1843.063,1752.582,,
3,23,9,118,320,15,3.1,414.771,23.774,3578.805,3439.611,,
3,23,10,36,296,17,5.7,330.716,22.382,2876.114,2757.99,,
3,23,11,533,322,17,6.7,873.441,30.692,7302.899,7021.39,,
3,23,12,639,270,16,6.7,925.643,31.153,7722.146,7421.386,,
3,23,13,505,331,17,8.2,822.256,28.851,6932.732,6667.677,,
3,23,14,12,233,16,8.7,235.361,19.041,2078.366,1981.938,,
3,23,15,0,176,14,8.2,169.808,15.692,1522.821,1440.103,,
3,23,16,190,166,14,8.7,242.306,16.59,2093.594,1996.774,,
3,23,17,0,0,13,7.2,0,13,0,0,,
3,23,18,0,0,13,5.7,0,13,0,0,,
3,23,19,0,0,13,6.2,0,13,0,0,,
3,23,20,0,0,12,6.7,0,12,0,0,,
3,23,21,0,0,12,2.1,0,12,0,0,,
3,23,22,0,0,11,3.6,0,11,0,0,,
3,23,23,0,0,11,5.7,0,11,0,0,,
3,24,0,0,0,10,0,0,10,0,0,,
3,24,1,0,0,8,0,0,8,0,0,,
3,24,2,0,0,8,0,0,8,0,0,,
3,24,3,0,0,7,1.5,0,7,0,0,,
3,24,4,0,0,6,2.6,0,6,0,0,,
3,24,5,0,0,7,0,0,7,0,0,,
3,24,6,312,24,8,1.5,65.133,7.629,430.922,371.808,,
3,24,7,603,72,11,0,303.192,21.456,2414.559,2309.276,,
3,24,8,777,94,13,0,565.921,34.726,4527.657,4357.099,,
3,24,9,782,137,14,0,759.292,43.522,5923.864,5701.066,,
3,24,10,826,160,16,5.1,926.995,33.757,7629.268,7332.829,,
3,24,11,856,146,18,7.2,999.28,33.708,8233.031,7907.929,,
3,24,12,886,142,19,8.7,1026.657,33.351,8473.558,8136.659,,
3,24,13,869,140,19,10.3,952.175,30.895,7947.409,7636.036,,
3,24,14,820,139,17,12.3,802.047,25.765,6833.895,6573.146,,
3,24,15,661,149,16,10.8,567.881,22.626,4841.536,4659.866,,
3,24,16,603,113,14,10.8,357.332,17.885,2950.48,2830.214,,
3,24,17,0,0,13,3.1,0,13,0,0,,
3,24,18,0,0,12,2.1,0,12,0,0,,
3,24,19,0,0,11,2.6,0,11,0,0,,
3,24,20,0,0,11,2.1,0,11,0,0,,
3,24,21,0,0,7,2.6,0,7,0,0,,
3,24,22,0,0,7,1.5,0,7,0,0,,
3,24,23,0,0,6,0,0,6,0,0,,
3,25,0,0,0,6,2.6,0,6,0,0,,
3,25,1,0,0,6,3.1,0,6,0,0,,
3,25,2,0,0,5,2.1,0,5,0,0,,
3,25,3,0,0,5,2.1,0,5,0,0,,
3,25,4,0,0,4,2.6,0,4,0,0,,
3,25,5,0,0,4,1.5,0,4,0,0,,
3,25,6,334,24,6,0,68.71,4.759,456.276,396.664,,
3,25,7,556,82,12,3.6,297.58,17.369,2430.721,2325.002,,
3,25,8,691,131,14,2.6,556.612,27.033,4634.326,4460.032,,
3,25,9,453,263,16,2.1,636.796,32.701,5254.103,5057.269,,
3,25,10,487,296,16,5.1,766.018,30.491,6407.33,6164.753,,
3,25,11,773,207,17,4.6,989.809,37.114,8019.093,7704.303,,
3,25,12,766,209,17,5.1,987.192,36.263,8031.937,7716.532,,
3,25,13,699,239,18,5.7,906.159,34.57,7430.09,7142.81,,
3,25,14,481,278,17,4.6,680.006,31.136,5655.667,5443.467,,
3,25,15,197,262,16,3.6,388.248,24.814,3311.651,3180.685,,
3,25,16,357,155,15,4.1,299.004,20.839,2489.573,2382.257,,
3,25,17,0,0,13,4.1,0,13,0,0,,
3,25,18,0,0,12,0,0,12,0,0,,
3,25,19,0,0,12,2.1,0,12,0,0,,
3,25,20,0,0,11,0,0,11,0,0,,
3,25,21,0,0,11,1.5,0,11,0,0,,
3,25,22,0,0,11,0,0,11,0,0,,
3,25,23,0,0,8,2.1,0,8,0,0,,
3,26,0,0,0,7.5,2.1,0,7.5,0,0,,
3,26,1,0,0,7,2.1,0,7,0,0,,
3,26,2,0,0,6.6,1.7,0,6.6,0,0,,
3,26,3,0,0,6.2,1.3,0,6.2,0,0,,
3,26,4,0,0,5.6,0.8,0,5.6,0,0,,
3,26,5,0,0,5.5,0.4,0,5.5,0,0,,
3,26,6,347,26,6,0,73.314,5.015,490.468,430.181,,
3,26,7,622,76,10,0,317.532,21.093,2540.902,2432.183,,
3,26,8,726,110,13,2.1,557.055,26.99,4635.316,4460.988,,
3,26,9,770,144,16,3.1,763.037,33.673,6256.924,6020.594,,
3,26,10,797,166,18,4.1,909.827,37.533,7349.972,7066.334,,
3,26,11,850,150,19,5.1,1000.082,38.385,8050.978,7734.662,,
3,26,12,886,142,19,5.7,1020.81,37.646,8248.412,7922.563,,
3,26,13,869,141,18,5.7,954.506,35.482,7790.443,7486.485,,
3,26,14,832,132,17,5.1,804.943,32.739,6633.039,6380.932,,
3,26,15,762,120,16,5.7,599.648,26.785,5005.372,4817.756,,
3,26,16,607,115,16,5.1,360.965,22.645,2917.322,2798.014,,
3,26,17,0,0,14,3.1,0,14,0,0,,
3,26,18,0,0,12,2.1,0,12,0,0,,
3,26,19,0,0,12,0,0,12,0,0,,
3,26,20,0,0,10,2.1,0,10,0,0,,
3,26,21,0,0,10,2.1,0,10,0,0,,
3,26,22,0,0,8,1.5,0,8,0,0,,
3,26,23,0,0,8,0,0,8,0,0,,
3,27,0,0,0,8,2.1,0,8,0,0,,
3,27,1,0,0,7,2.1,0,7,0,0,,
3,27,2,0,0,6,2.6,0,6,0,0,,
3,27,3,0,0,6.1,1.3,0,6.1,0,0,,
3,27,4,0,0,6,0,0,6,0,0,,
3,27,5,0,0,5,3.1,0,5,0,0,,
3,27,6,373,25,8,3.6,76.942,8.063,501.849,441.337,,
3,27,7,607,80,12,2.6,317.567,18.48,2579.707,2469.92,,
3,27,8,709,117,14,2.6,555.935,27.072,4627.87,4453.804,,
3,27,9,718,166,15.1,4.5,747.383,30.156,6236.271,6000.792,,
3,27,10,743,200,15.9,6.3,902.36,31.1,7524.492,7232.89,,
3,27,11,641,265,16,8.2,923.363,29.293,7772.601,7469.48,,
3,27,12,808,193,16,5.7,1006.705,34.276,8271.542,7944.566,,
3,27,13,815,168,16,4.1,934.138,36.566,7583.734,7289.402,,
3,27,14,752,171,16,4.1,785.94,33.336,6460.026,6215.242,,
3,27,15,628,159,16,6.2,558.118,25.478,4698.911,4522.335,,
3,27,16,453,136,14,6.2,320.245,19.063,2662.814,2550.724,,
3,27,17,0,0,13,3.6,0,13,0,0,,
3,27,18,0,0,13,3.1,0,13,0,0,,
3,27,19,0,0,13,2.1,0,13,0,0,,
3,27,20,0,0,13,0,0,13,0,0,,
3,27,21,0,0,13,0,0,13,0,0,,
3,27,22,0,0,13,1.5,0,13,0,0,,
3,27,23,0,0,12,1.5,0,12,0,0,,
3,28,0,0,0,12,0,0,12,0,0,,
3,28,1,0,0,12,0,0,12,0,0,,
3,28,2,0,0,12,1.5,0,12,0,0,,
3,28,3,0,0,12,0,0,12,0,0,,
3,28,4,0,0,12,0,0,12,0,0,,
3,28,5,0,0,12,0,0,12,0,0,,
3,28,6,4,36,12,0,34.645,9.438,317.171,260.261,,
3,28,7,22,142,13,1.5,145.249,15.3,1296.399,1218.941,,
3,28,8,156,247,14,1.5,345.398,22.658,2977.677,2856.622,,
3,28,9,271,329,16,2.6,558.559,29.18,4693.829,4517.433,,
3,28,10,589,291,16,2.6,855.325,36.863,6934.505,6669.373,,
3,28,11,461,344,17,4.6,828.646,34.04,6816.684,6556.683,,
3,28,12,151,428,17,3.6,595.734,30.734,4980.437,4793.731,,
3,28,13,140,399,17,4.6,543.49,27.819,4606.73,4433.407,,
3,28,14,12,245,16,5.7,246.913,20.027,2170.585,2071.77,,
3,28,15,121,270,14,4.1,344.197,20.519,3002.773,2880.988,,
3,28,16,104,188,13.6,3.9,227.254,17.873,1979.814,1885.902,,
3,28,17,0,0,13,3.6,0,13,0,0,,
3,28,18,0,0,12,2.1,0,12,0,0,,
3,28,19,0,0,12,1.5,0,12,0,0,,
3,28,20,0,0,11,1.5,0,11,0,0,,
3,28,21,0,0,11,0,0,11,0,0,,
3,28,22,0,0,10,0,0,10,0,0,,
3,28,23,0,0,8,0,0,8,0,0,,
3,29,0,0,0,8,0,0,8,0,0,,
3,29,1,0,0,9.4,1.3,0,9.4,0,0,,
3,29,2,0,0,11,2.6,0,11,0,0,,
3,29,3,0,0,11,0,0,11,0,0,,
3,29,4,0,0,11,1.5,0,11,0,0,,
3,29,5,0,0,11,1.5,0,11,0,0,,
3,29,6,0,25,10.8,1.5,23.635,9.211,218.138,163.108,,
3,29,7,0,82,12,1.5,77.929,12.2,709.846,645.125,,
3,29,8,0,135,13,0,129.04,16.352,1153.778,1079.534,,
3,29,9,29,283,13,1.5,305.93,20.451,2683.551,2570.881,,
3,29,10,172,381,14,2.1,552.665,27.819,4684.187,4508.133,,
3,29,11,665,276,15,3.6,959.231,36.115,7810.424,7505.527,,
3,29,12,760,216,16,4.6,991.203,36.483,8056.006,7739.449,,
3,29,13,748,204,16,4.1,916.068,36.161,7452.562,7164.256,,
3,29,14,715,184,16,3.1,770.61,34.692,6293.149,6055.323,,
3,29,15,723,133,16,4.1,589.701,28.874,4877.885,4694.904,,
3,29,16,603,116,15,4.1,360.468,22.594,2915.9,2796.633,,
3,29,17,0,0,13,4.1,0,13,0,0,,
3,29,18,0,0,12,3.1,0,12,0,0,,
3,29,19,0,0,12,2.1,0,12,0,0,,
3,29,20,0,0,13,2.6,0,13,0,0,,
3,29,21,0,0,12.5,2.1,0,12.5,0,0,,
3,29,22,0,0,12,1.5,0,12,0,0,,
3,29,23,0,0,12,0,0,12,0,0,,
3,30,0,0,0,12,0,0,12,0,0,,
3,30,1,0,0,12,0,0,12,0,0,,
3,30,2,0,0,12,0,0,12,0,0,,
3,30,3,0,0,12,2.1,0,12,0,0,,
3,30,4,0,0,12,2.1,0,12,0,0,,
3,30,5,0,0,12,1.5,0,12,0,0,,
3,30,6,0,28,12,2.1,26.479,10.695,242.807,187.312,,
3,30,7,0,78,12,1.5,74.045,12.094,674.783,610.782,,
3,30,8,0,166,13,2.1,159.416,15.627,1430.04,1349.5,,
3,30,9,12,208,13,2.6,209.896,16.999,1870.743,1779.573,,
3,30,10,303,356,14,2.1,655.14,30.157,5490.187,5284.392,,
3,30,11,587,293,15,3.6,899.317,35.036,7361.853,7077.676,,
3,30,12,657,271,16,4.6,947.624,35.505,7739.33,7437.767,,
3,30,13,389,373,16,4.6,752.586,31.671,6260.649,6024.166,,
3,30,14,671,226,16,4.6,778.402,31.846,6447.906,6203.631,,
3,30,15,203,276,14,4.1,405.079,22.946,3486.208,3349.896,,
3,30,16,125,187,13,4.6,236.623,17.169,2061.977,1965.97,,
3,30,17,0,0,12,2.1,0,12,0,0,,
3,30,18,0,0,12,1.5,0,12,0,0,,
3,30,19,0,0,12,2.1,0,12,0,0,,
3,30,20,0,0,12,1.5,0,12,0,0,,
3,30,21,0,0,12,1.5,0,12,0,0,,
3,30,22,0,0,12,1.5,0,12,0,0,,
3,30,23,0,0,12,1.5,0,12,0,0,,
3,31,0,0,0,12,1.5,0,12,0,0,,
3,31,1,0,0,12,0,0,12,0,0,,
3,31,2,0,0,12,1.5,0,12,0,0,,
3,31,3,0,0,12,2.6,0,12,0,0,,
3,31,4,0,0,12,2.1,0,12,0,0,,
3,31,5,0,0,11,1.5,0,11,0,0,,
3,31,6,0,32,12,0,30.275,9.221,279.413,223.224,,
3,31,7,0,100,12,1.5,95.326,12.758,866.163,798.172,,
3,31,8,6,168,12,0,164.963,17.139,1468.863,1387.416,,
3,31,9,165,346,13,2.6,485.949,23.937,4189.648,4030.647,,
3,31,10,178,398,13,2.1,575.989,28.009,4877.565,4694.596,,
3,31,11,713,254,14,2.6,985.192,38.046,7945.049,7633.788,,
3,31,12,808,195,16,3.6,1011.272,39.106,8112.063,7792.813,,
3,31,13,583,299,17,4.1,861.269,36.032,7012.24,6743.693,,
3,31,14,289,326,14,3.6,570.901,27.31,4840.995,4659.343,,
3,31,15,82,281,14,4.1,330.997,20.907,2887.31,2768.865,,
3,31,16,55,182,13,4.1,201.017,16.558,1775.434,1686.625,,
3,31,17,0,40,12,4.1,37.874,11.684,345.777,288.318,,
3,31,18,0,0,12,2.1,0,12,0,0,,
3,31,19,0,0,12,0,0,12,0,0,,
3,31,20,0,0,12,0,0,12,0,0,,
3,31,21,0,0,11.5,0.3,0,11.5,0,0,,
3,31,22,0,0,11,0.6,0,11,0,0,,
3,31,23,0,0,10.5,0.9,0,10.5,0,0,,
4,1,0,0,0,10,1.2,0,10,0,0,,
4,1,1,0,0,9.5,1.5,0,9.5,0,0,,
4,1,2,0,0,9,1.8,0,9,0,0,,
4,1,3,0,0,8.5,2.1,0,8.5,0,0,,
4,1,4,0,0,8,2.6,0,8,0,0,,
4,1,5,38,1,7,4.6,0.97,5.492,9.097,0,,
4,1,6,489,31,9.8,3.9,105.339,10.534,685.862,621.634,,
4,1,7,763,51,13,3.1,355.696,20.118,2849.214,2731.86,,
4,1,8,877,70,16,2.6,614.024,30.555,5021.872,4833.651,,
4,1,9,936,83,18,2.6,832.125,38.39,6666.106,6412.586,,
4,1,10,966,92,19,4.1,987.956,40.25,7873.51,7565.639,,
4,1,11,980,96,19,6.2,1069.339,37.529,8645.869,8300.388,,
4,1,12,980,96,19,7.2,1069.475,35.968,8714.414,8333.333,,
4,1,13,890,146,19,8.2,982.181,33.332,8102.188,7783.413,,
4,1,14,752,153,19,6.2,767.878,32.36,6341.781,6101.938,,
4,1,15,657,138,21,11.3,554.695,27.306,4626.432,4452.417,,
4,1,16,393,106,19,5.7,266.201,23.431,2164.115,2065.468,,
4,1,17,224,49,17,6.2,82.928,17.618,612.445,549.715,,
4,1,18,30,1,15,5.7,0.97,13.886,8.768,0,,
4,1,19,0,0,14,4.1,0,14,0,0,,
4,1,20,0,0,14,4.6,0,14,0,0,,
4,1,21,0,0,12.6,3.9,0,12.6,0,0,,
4,1,22,0,0,11.3,3.3,0,11.3,0,0,,
4,1,23,0,0,10,2.6,0,10,0,0,,
4,2,0,0,0,10,3.4,0,10,0,0,,
4,2,1,0,0,9.9,4.3,0,9.9,0,0,,
4,2,2,0,0,10,5.1,0,10,0,0,,
4,2,3,0,0,9.5,4.9,0,9.5,0,0,,
4,2,4,0,0,9,4.6,0,9,0,0,,
4,2,5,37,1,9,3.6,0.97,7.295,9.026,0,,
4,2,6,229,65,10,4.1,98.383,10.567,770.808,704.822,,
4,2,7,555,91,14,6.2,317.539,18.436,2611.13,2500.475,,
4,2,8,568,179,16,10.3,539.805,22.184,4622.167,4448.301,,
4,2,9,194,225,18,8.7,390.188,23.015,3376.418,3243.481,,
4,2,10,279,290,19,9.3,564.066,26.038,4820.841,4639.914,,
4,2,11,549,171,20,5.1,737.861,33.863,6075.169,5846.275,,
4,2,12,544,114,19,7.7,667.385,28.855,5629.825,5418.631,,
4,2,13,731,191,19,7.2,887.975,32.7,7348.302,7064.74,,
4,2,14,380,261,18,5.1,582.323,29.382,4886.192,4702.911,,
4,2,15,208,198,19,8.7,332.445,23.249,2851.57,2734.149,,
4,2,16,357,111,19,4.6,256.998,23.527,2096.459,1999.565,,
4,2,17,150,75,17,6.2,95.86,17.831,767.864,701.939,,
4,2,18,0,1,16,4.1,0.97,14.708,8.736,0,,
4,2,19,0,0,14.9,4.4,0,14.9,0,0,,
4,2,20,0,0,14.2,4.7,0,14.2,0,0,,
4,2,21,0,0,13.5,5,0,13.5,0,0,,
4,2,22,0,0,12.8,5.3,0,12.8,0,0,,
4,2,23,0,0,12.2,5.6,0,12.2,0,0,,
4,3,0,0,0,11.7,5.9,0,11.7,0,0,,
4,3,1,0,0,11,6.2,0,11,0,0,,
4,3,2,0,0,10.8,6,0,10.8,0,0,,
4,3,3,0,0,10.6,5.8,0,10.6,0,0,,
4,3,4,0,0,10.4,5.6,0,10.4,0,0,,
4,3,5,15,1,10.8,5.5,0.97,9.491,8.94,0,,
